timestamp,game_time,move_number,seed,move_type,tetromino_x,tetromino_y,tetromino_shape,tetromino_rotation,next_shape,fall_speed,score,level,lines_cleared,probabilities,chosen_probability
2025-06-10 13:52:25.506,0.001,1,[91],HARD_DROP,5,0,J,0,O,1.000,0,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.2331
2025-06-10 13:52:25.522,0.016,2,[91],HARD_DROP,5,0,O,0,T,1.000,36,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.2331
2025-06-10 13:52:25.538,0.033,3,[91],NO_MOVE,5,0,T,0,L,1.000,68,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:25.555,0.050,4,[91],NO_MOVE,5,0,T,0,L,1.000,68,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:25.572,0.067,5,[91],NO_MOVE,5,0,T,0,L,1.000,68,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:25.590,0.085,6,[91],NO_MOVE,5,0,T,0,L,1.000,68,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:25.606,0.101,7,[91],NO_MOVE,5,0,T,0,L,1.000,68,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:25.624,0.119,8,[91],NO_MOVE,5,0,T,0,L,1.000,68,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:25.640,0.135,9,[91],NO_MOVE,5,0,T,0,L,1.000,68,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:25.657,0.152,10,[91],HARD_DROP,5,0,T,0,L,1.000,68,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.2331
2025-06-10 13:52:25.675,0.169,11,[91],HARD_DROP,5,0,L,0,I,1.000,96,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.2331
2025-06-10 13:52:25.692,0.187,12,[91],NO_MOVE,5,0,I,0,J,1.000,120,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:25.708,0.203,13,[91],HARD_DROP,5,0,I,0,J,1.000,120,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.2331
2025-06-10 13:52:25.725,0.220,14,[91],NO_MOVE,5,0,J,0,J,1.000,142,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:25.743,0.238,15,[91],HARD_DROP,5,0,J,0,J,1.000,142,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.2331
2025-06-10 13:52:25.760,0.255,16,[91],HARD_DROP,5,0,J,0,T,1.000,160,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.2331
2025-06-10 13:52:25.777,0.272,17,[91],HARD_DROP,5,0,T,0,S,1.000,174,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.2331
2025-06-10 13:52:25.793,0.288,18,[91],HARD_DROP,5,0,S,0,J,1.000,184,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.2331
2025-06-10 13:52:25.810,0.305,19,[91],SOFT_DROP,5,0,J,0,O,1.000,190,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.0858
2025-06-10 13:52:25.827,0.322,20,[91],SOFT_DROP,5,1,J,0,O,1.000,191,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.0858
2025-06-10 13:52:25.843,0.338,21,[91],NO_MOVE,5,1,J,0,O,1.000,191,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:25.860,0.355,22,[91],NO_MOVE,5,1,J,0,O,1.000,191,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:25.878,0.373,23,[91],HARD_DROP,5,1,J,0,O,1.000,191,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.2331
2025-06-10 13:52:25.895,0.390,24,[91],HARD_DROP,5,0,O,0,L,1.000,193,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.2331
2025-06-10 13:52:25.913,0.408,25,[91],HARD_DROP,5,0,L,0,J,1.000,193,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.2331
