timestamp,game_time,move_number,seed,move_type,tetromino_x,tetromino_y,tetromino_shape,tetromino_rotation,next_shape,fall_speed,score,level,lines_cleared,probabilities,chosen_probability
2025-06-10 13:52:17.416,0.001,1,[267],NO_MOVE,5,0,Z,0,Z,1.000,0,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:17.431,0.016,2,[267],NO_MOVE,5,0,Z,0,Z,1.000,0,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:17.448,0.032,3,[267],NO_MOVE,5,0,Z,0,Z,1.000,0,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:17.465,0.050,4,[267],HARD_DROP,5,0,Z,0,Z,1.000,0,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.2331
2025-06-10 13:52:17.482,0.066,5,[267],NO_MOVE,5,0,Z,0,L,1.000,36,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:17.499,0.084,6,[267],NO_MOVE,5,0,Z,0,L,1.000,36,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:17.517,0.101,7,[267],NO_MOVE,5,0,Z,0,L,1.000,36,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:17.534,0.118,8,[267],NO_MOVE,5,0,Z,0,L,1.000,36,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:17.550,0.135,9,[267],NO_MOVE,5,0,Z,0,L,1.000,36,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:17.568,0.152,10,[267],SOFT_DROP,5,0,Z,0,L,1.000,36,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.0858
2025-06-10 13:52:17.584,0.169,11,[267],NO_MOVE,5,1,Z,0,L,1.000,37,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:17.602,0.186,12,[267],HARD_DROP,5,1,Z,0,L,1.000,37,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.2331
2025-06-10 13:52:17.619,0.203,13,[267],NO_MOVE,5,0,L,0,T,1.000,67,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:17.635,0.219,14,[267],NO_MOVE,5,0,L,0,T,1.000,67,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:17.652,0.237,15,[267],NO_MOVE,5,0,L,0,T,1.000,67,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:17.670,0.254,16,[267],NO_MOVE,5,0,L,0,T,1.000,67,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:17.686,0.271,17,[267],NO_MOVE,5,0,L,0,T,1.000,67,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:17.704,0.288,18,[267],HARD_DROP,5,0,L,0,T,1.000,67,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.2331
2025-06-10 13:52:17.720,0.305,19,[267],NO_MOVE,5,0,T,0,T,1.000,97,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:17.738,0.322,20,[267],NO_MOVE,5,0,T,0,T,1.000,97,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:17.754,0.339,21,[267],NO_MOVE,5,0,T,0,T,1.000,97,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:17.772,0.356,22,[267],NO_MOVE,5,0,T,0,T,1.000,97,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:17.788,0.373,23,[267],NO_MOVE,5,0,T,0,T,1.000,97,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:17.806,0.390,24,[267],NO_MOVE,5,0,T,0,T,1.000,97,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:17.822,0.407,25,[267],SOFT_DROP,5,0,T,0,T,1.000,97,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.0858
2025-06-10 13:52:17.840,0.424,26,[267],NO_MOVE,5,1,T,0,T,1.000,98,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:17.856,0.440,27,[267],NO_MOVE,5,1,T,0,T,1.000,98,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:17.874,0.458,28,[267],NO_MOVE,5,1,T,0,T,1.000,98,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:17.890,0.475,29,[267],HARD_DROP,5,1,T,0,T,1.000,98,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.2331
2025-06-10 13:52:17.907,0.492,30,[267],HARD_DROP,5,0,T,0,J,1.000,122,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.2331
2025-06-10 13:52:17.925,0.509,31,[267],NO_MOVE,5,0,J,0,I,1.000,144,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:17.942,0.526,32,[267],HARD_DROP,5,0,J,0,I,1.000,144,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.2331
2025-06-10 13:52:17.959,0.543,33,[267],SOFT_DROP,5,0,I,0,I,1.000,162,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.0858
2025-06-10 13:52:17.975,0.560,34,[267],SOFT_DROP,5,1,I,0,I,1.000,163,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.0858
2025-06-10 13:52:17.993,0.577,35,[267],NO_MOVE,5,1,I,0,I,1.000,163,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:18.010,0.594,36,[267],HARD_DROP,5,1,I,0,I,1.000,163,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.2331
2025-06-10 13:52:18.025,0.610,37,[267],NO_MOVE,5,0,I,0,S,1.000,177,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:18.043,0.627,38,[267],NO_MOVE,5,0,I,0,S,1.000,177,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:18.060,0.644,39,[267],NO_MOVE,5,0,I,0,S,1.000,177,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:18.076,0.661,40,[267],NO_MOVE,5,0,I,0,S,1.000,177,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:18.094,0.678,41,[267],ROTATE,5,0,I,0,S,1.000,177,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.0315
2025-06-10 13:52:18.111,0.695,42,[267],SOFT_DROP,5,0,I,1,S,1.000,177,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.0858
2025-06-10 13:52:18.128,0.712,43,[267],ROTATE,5,1,I,1,S,1.000,178,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.0315
2025-06-10 13:52:18.143,0.728,44,[267],HARD_DROP,5,1,I,2,S,1.000,178,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.2331
2025-06-10 13:52:18.160,0.745,45,[267],NO_MOVE,5,0,S,0,S,1.000,190,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:18.177,0.762,46,[267],NO_MOVE,5,0,S,0,S,1.000,190,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
