timestamp,game_time,move_number,seed,move_type,tetromino_x,tetromino_y,tetromino_shape,tetromino_rotation,next_shape,fall_speed,score,level,lines_cleared,probabilities,chosen_probability
2025-06-10 13:29:47.520,0.000,1,5,NO_MOVE,5,0,Z,0,J,1.000,0,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:29:47.520,0.001,2,5,HARD_DROP,5,0,Z,0,J,1.000,0,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.2331
2025-06-10 13:29:47.521,0.002,3,5,NO_MOVE,5,0,J,0,I,1.000,36,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:29:47.522,0.002,4,5,ROTATE,5,0,J,0,I,1.000,36,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.0315
2025-06-10 13:29:47.522,0.002,5,5,HARD_DROP,5,0,J,1,I,1.000,36,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.2331
2025-06-10 13:29:47.523,0.003,6,5,NO_MOVE,5,0,I,0,J,1.000,68,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:29:47.523,0.003,7,5,NO_MOVE,5,0,I,0,J,1.000,68,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:29:47.523,0.003,8,5,NO_MOVE,5,0,I,0,J,1.000,68,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:29:47.523,0.004,9,5,NO_MOVE,5,0,I,0,J,1.000,68,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:29:47.523,0.004,10,5,HARD_DROP,5,0,I,0,J,1.000,68,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.2331
2025-06-10 13:29:47.524,0.004,11,5,SOFT_DROP,5,0,J,0,S,1.000,96,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.0858
2025-06-10 13:29:47.524,0.005,12,5,NO_MOVE,5,0,J,0,S,1.000,96,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:29:47.524,0.005,13,5,NO_MOVE,5,0,J,0,S,1.000,96,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:29:47.524,0.005,14,5,NO_MOVE,5,0,J,0,S,1.000,96,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:29:47.525,0.005,15,5,NO_MOVE,5,0,J,0,S,1.000,96,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:29:47.525,0.005,16,5,NO_MOVE,5,0,J,0,S,1.000,96,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:29:47.525,0.005,17,5,HARD_DROP,5,0,J,0,S,1.000,96,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.2331
2025-06-10 13:29:47.526,0.006,18,5,NO_MOVE,5,0,S,0,S,1.000,120,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:29:47.526,0.006,19,5,HARD_DROP,5,0,S,0,S,1.000,120,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.2331
2025-06-10 13:29:47.527,0.007,20,5,NO_MOVE,5,0,S,0,Z,1.000,140,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:29:47.527,0.007,21,5,NO_MOVE,5,0,S,0,Z,1.000,140,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:29:47.527,0.007,22,5,NO_MOVE,5,0,S,0,Z,1.000,140,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:29:47.527,0.007,23,5,NO_MOVE,5,0,S,0,Z,1.000,140,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:29:47.527,0.008,24,5,NO_MOVE,5,0,S,0,Z,1.000,140,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:29:47.527,0.008,25,5,HARD_DROP,5,0,S,0,Z,1.000,140,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.2331
2025-06-10 13:29:47.528,0.008,26,5,NO_MOVE,5,0,Z,0,T,1.000,156,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:29:47.528,0.008,27,5,NO_MOVE,5,0,Z,0,T,1.000,156,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:29:47.528,0.008,28,5,NO_MOVE,5,0,Z,0,T,1.000,156,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:29:47.528,0.008,29,5,NO_MOVE,5,0,Z,0,T,1.000,156,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:29:47.528,0.009,30,5,NO_MOVE,5,0,Z,0,T,1.000,156,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:29:47.528,0.009,31,5,HARD_DROP,5,0,Z,0,T,1.000,156,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.2331
