timestamp,game_time,move_number,seed,move_type,tetromino_x,tetromino_y,tetromino_shape,tetromino_rotation,next_shape,fall_speed,score,level,lines_cleared,probabilities,chosen_probability
2025-06-10 13:52:14.295,0.001,1,[179],NO_MOVE,5,0,L,0,L,1.000,0,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:14.310,0.016,2,[179],NO_MOVE,5,0,L,0,L,1.000,0,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:14.328,0.034,3,[179],MOVE_RIGHT,5,0,L,0,L,1.000,0,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.0116
2025-06-10 13:52:14.344,0.050,4,[179],NO_MOVE,6,0,L,0,L,1.000,0,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:14.362,0.068,5,[179],NO_MOVE,6,0,L,0,L,1.000,0,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:14.378,0.084,6,[179],NO_MOVE,6,0,L,0,L,1.000,0,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:14.396,0.101,7,[179],NO_MOVE,6,0,L,0,L,1.000,0,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:14.413,0.119,8,[179],NO_MOVE,6,0,L,0,L,1.000,0,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:14.429,0.135,9,[179],NO_MOVE,6,0,L,0,L,1.000,0,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:14.447,0.152,10,[179],HARD_DROP,6,0,L,0,L,1.000,0,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.2331
2025-06-10 13:52:14.463,0.169,11,[179],NO_MOVE,5,0,L,0,I,1.000,36,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:14.481,0.187,12,[179],NO_MOVE,5,0,L,0,I,1.000,36,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:14.497,0.203,13,[179],NO_MOVE,5,0,L,0,I,1.000,36,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:14.514,0.220,14,[179],NO_MOVE,5,0,L,0,I,1.000,36,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:14.530,0.236,15,[179],NO_MOVE,5,0,L,0,I,1.000,36,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:14.548,0.254,16,[179],SOFT_DROP,5,0,L,0,I,1.000,36,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.0858
2025-06-10 13:52:14.564,0.269,17,[179],NO_MOVE,5,1,L,0,I,1.000,37,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:14.580,0.286,18,[179],HARD_DROP,5,1,L,0,I,1.000,37,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.2331
2025-06-10 13:52:14.597,0.303,19,[179],NO_MOVE,5,0,I,0,L,1.000,67,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:14.615,0.321,20,[179],NO_MOVE,5,0,I,0,L,1.000,67,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:14.633,0.338,21,[179],NO_MOVE,5,0,I,0,L,1.000,67,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:14.649,0.355,22,[179],NO_MOVE,5,0,I,0,L,1.000,67,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:14.667,0.373,23,[179],NO_MOVE,5,0,I,0,L,1.000,67,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:14.684,0.389,24,[179],NO_MOVE,5,0,I,0,L,1.000,67,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:14.700,0.406,25,[179],HARD_DROP,5,0,I,0,L,1.000,67,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.2331
2025-06-10 13:52:14.717,0.423,26,[179],NO_MOVE,5,0,L,0,L,1.000,97,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
