timestamp,game_time,move_number,seed,move_type,tetromino_x,tetromino_y,tetromino_shape,tetromino_rotation,next_shape,fall_speed,score,level,lines_cleared,probabilities,chosen_probability
2025-06-10 13:52:16.446,0.001,1,[470],NO_MOVE,5,0,L,0,S,1.000,0,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:16.462,0.016,2,[470],HARD_DROP,5,0,L,0,S,1.000,0,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.2331
2025-06-10 13:52:16.478,0.033,3,[470],HARD_DROP,5,0,S,0,S,1.000,36,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.2331
2025-06-10 13:52:16.495,0.050,4,[470],HARD_DROP,5,0,S,0,I,1.000,68,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.2331
2025-06-10 13:52:16.512,0.066,5,[470],ROTATE,5,0,I,0,Z,1.000,96,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.0315
2025-06-10 13:52:16.530,0.084,6,[470],NO_MOVE,5,0,I,1,Z,1.000,96,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:16.546,0.100,7,[470],NO_MOVE,5,0,I,1,Z,1.000,96,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:16.564,0.118,8,[470],NO_MOVE,5,0,I,1,Z,1.000,96,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:16.580,0.134,9,[470],NO_MOVE,5,0,I,1,Z,1.000,96,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:16.598,0.152,10,[470],NO_MOVE,5,0,I,1,Z,1.000,96,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:16.614,0.169,11,[470],NO_MOVE,5,0,I,1,Z,1.000,96,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:16.632,0.186,12,[470],HARD_DROP,5,0,I,1,Z,1.000,96,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.2331
