timestamp,game_time,move_number,seed,move_type,tetromino_x,tetromino_y,tetromino_shape,tetromino_rotation,next_shape,fall_speed,score,level,lines_cleared,probabilities,chosen_probability
2025-06-10 13:52:15.804,0.001,1,[39],NO_MOVE,5,0,L,0,S,1.000,0,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:15.818,0.015,2,[39],HARD_DROP,5,0,L,0,S,1.000,0,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.2331
2025-06-10 13:52:15.835,0.032,3,[39],NO_MOVE,5,0,S,0,O,1.000,36,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:15.851,0.048,4,[39],NO_MOVE,5,0,S,0,O,1.000,36,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:15.869,0.066,5,[39],ROTATE,5,0,S,0,O,1.000,36,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.0315
2025-06-10 13:52:15.885,0.082,6,[39],NO_MOVE,5,0,S,1,O,1.000,36,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:15.902,0.099,7,[39],HARD_DROP,5,0,S,1,O,1.000,36,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.2331
2025-06-10 13:52:15.920,0.117,8,[39],NO_MOVE,5,0,O,0,S,1.000,68,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:15.936,0.133,9,[39],NO_MOVE,5,0,O,0,S,1.000,68,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:15.954,0.151,10,[39],NO_MOVE,5,0,O,0,S,1.000,68,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:15.970,0.167,11,[39],HARD_DROP,5,0,O,0,S,1.000,68,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.2331
2025-06-10 13:52:15.987,0.184,12,[39],NO_MOVE,5,0,S,0,J,1.000,94,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:16.005,0.202,13,[39],NO_MOVE,5,0,S,0,J,1.000,94,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:16.021,0.218,14,[39],NO_MOVE,5,0,S,0,J,1.000,94,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:16.039,0.236,15,[39],SOFT_DROP,5,0,S,0,J,1.000,94,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.0858
2025-06-10 13:52:16.056,0.252,16,[39],HARD_DROP,5,1,S,0,J,1.000,95,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.2331
2025-06-10 13:52:16.073,0.269,17,[39],NO_MOVE,5,0,J,0,I,1.000,115,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:16.089,0.286,18,[39],NO_MOVE,5,0,J,0,I,1.000,115,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:16.107,0.304,19,[39],NO_MOVE,5,0,J,0,I,1.000,115,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:16.123,0.320,20,[39],ROTATE,5,0,J,0,I,1.000,115,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.0315
2025-06-10 13:52:16.140,0.337,21,[39],NO_MOVE,5,0,J,1,I,1.000,115,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:16.158,0.355,22,[39],MOVE_LEFT,5,0,J,1,I,1.000,115,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.0043
2025-06-10 13:52:16.174,0.371,23,[39],HARD_DROP,4,0,J,1,I,1.000,115,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.2331
2025-06-10 13:52:16.191,0.388,24,[39],NO_MOVE,5,0,I,0,T,1.000,133,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
2025-06-10 13:52:16.209,0.406,25,[39],HARD_DROP,5,0,I,0,T,1.000,133,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.2331
2025-06-10 13:52:16.226,0.423,26,[39],NO_MOVE,5,0,T,0,T,1.000,147,1,0,0.0043;0.0116;0.0315;0.0858;0.2331;0.6337,0.6337
